"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,182,"PRT","Portugal",1,"Évora","Distrito","District",NA,NA
2,182,"PRT","Portugal",2,"Aveiro","Distrito","District",NA,NA
3,182,"PRT","Portugal",3,"Azores","Regiões autônoma","Autonomous region",NA,"Açores"
4,182,"PRT","Portugal",4,"Beja","Distrito","District",NA,NA
5,182,"PRT","Portugal",5,"Braga","Distrito","District",NA,NA
6,182,"PRT","Portugal",6,"Bragança","Distrito","District",NA,"Braganza"
7,182,"PRT","Portugal",7,"Castelo Branco","Distrito","District",NA,NA
8,182,"PRT","Portugal",8,"Coimbra","Distrito","District",NA,NA
9,182,"PRT","Portugal",9,"Faro","Distrito","District",NA,NA
10,182,"PRT","Portugal",10,"Guarda","Distrito","District",NA,NA
11,182,"PRT","Portugal",11,"Leiria","Distrito","District",NA,NA
12,182,"PRT","Portugal",12,"Lisboa","Distrito","District",NA,"Lisbon|Lisbona|Lisbonne|Lissabon"
13,182,"PRT","Portugal",13,"Madeira","Regiões autônoma","Autonomous region",NA,NA
14,182,"PRT","Portugal",14,"Portalegre","Distrito","District",NA,NA
15,182,"PRT","Portugal",15,"Porto","Distrito","District",NA,"Oporto"
16,182,"PRT","Portugal",16,"Santarém","Distrito","District",NA,NA
17,182,"PRT","Portugal",17,"Setúbal","Distrito","District",NA,NA
18,182,"PRT","Portugal",18,"Viana do Castelo","Distrito","District",NA,"Vianna do Castello"
19,182,"PRT","Portugal",19,"Vila Real","Distrito","District",NA,"Villa Real"
20,182,"PRT","Portugal",20,"Viseu","Distrito","District",NA,"Vizeu"
